Total number of words = 30088
Word count: 
1. = 799
2.a = 717
3.christmas = 79
4.carol = 9
5.by = 125
6.charles = 1
7.dickens = 6
8.illustrated = 1
9.george = 2
10.alfred = 2
11.williams = 2
12.new = 11
13.york = 1
14.the = 1618
15.platt = 1
16.& = 2
17.peck = 2
18.co = 1
19._copyright = 1
20.1905 = 1
21.by_ = 1
22.baker = 2
23.taylor = 1
24.company = 11
25.illustration = 5
26.he = 483
27.had = 206
28.been = 71
29.tim\'s = 2
30.blood = 6
31.horse = 4
32.all = 136
33.way = 28
34.from = 94
35.church = 8
36.introduction = 1
37.combined = 1
38.qualities = 1
39.of = 683
40.realist = 1
41.and = 1071
42.idealist = 1
43.which = 99
44.possessed = 2
45.to = 674
46.remarkable = 5
47.degree = 3
48.together = 13
49.with = 273
50.his = 433
51.naturally = 1
52.jovial = 5
53.attitude = 4
54.toward = 3
55.life = 29
56.in = 533
57.general = 3
58.seem = 3
59.have = 187
60.given = 8
61.him = 198
62.remarkably = 1
63.happy = 14
64.feeling = 4
65.though = 32
66.privations = 1
67.hardships = 1
68.boyhood = 1
69.could = 63
70.allowed = 3
71.but = 179
72.little = 65
73.real = 3
74.experience = 1
75.this = 128
76.day = 25
77.days = 8
78.gave = 8
79.first = 35
80.formal = 1
81.expression = 5
82.thoughts = 9
83.series = 2
84.small = 7
85.books = 4
86.was = 433
87.famous = 1
88.one = 111
89.perfect = 4
90.chrysolite = 1
91.success = 2
92.book = 5
93.immediate = 2
94.thackeray = 1
95.wrote = 2
96.it = 522
97.who = 72
98.can = 27
99.listen = 3
100.objections = 1
101.regarding = 1
102.such = 39
103.as = 231
104.seems = 2
105.me = 103
106.national = 1
107.benefit = 2
108.every = 43
109.man = 71
110.or = 90
111.woman = 24
112.reads = 1
113.personal = 1
114.kindness = 2
115.volume = 2
116.put = 22
117.forth = 10
118.very = 83
119.attractive = 2
120.manner = 4
121.illustrations = 3
122.john = 1
123.leech = 1
124.artist = 1
125.make = 21
126.these = 34
127.characters = 5
128.live = 15
129.drawings = 1
130.were = 178
131.varied = 3
132.spirited = 1
133.there = 125
134.followed = 6
135.upon = 119
136.four = 7
137.others = 3
138.chimes = 3
139.cricket = 4
140.on = 166
141.hearth = 6
142.battle = 1
143.haunted = 3
144.their = 101
145.appearance = 3
146.doyle = 1
147.maclise = 1
148.five = 8
149.are = 60
150.known = 11
151.to-day = 6
152.them = 82
153.is = 133
154.best = 8
155.loved = 5
156.although = 7
157.third = 4
158.perhaps = 10
159.next = 15
160.point = 9
161.popularity = 1
162.especially = 5
163.familiar = 5
164.americans = 1
165.through = 36
166.joseph = 1
167.jefferson's = 1
168.characterisation = 1
169.caleb = 1
170.plummer = 1
171.whole = 15
172.self = 11
173.into = 58
174.glowing = 4
175.stories = 1
176.whoever = 1
177.sees = 1
178.clever = 1
179.ghost = 91
180.story = 6
181.misses = 1
182.its = 131
183.chief = 2
184.charm = 1
185.lesson = 3
186.for = 202
187.different = 3
188.meaning = 5
189.movements = 1
190.scrooge = 325
191.attendant = 2
192.spirits = 15
193.brought = 7
194.when = 92
195.running = 6
196.window = 16
197.opened = 7
198.out = 82
199.head = 39
200.no = 118
201.fog = 7
202.mist = 7
203.clear = 11
204.bright = 11
205.stirring = 2
206.cold = 29
207.piping = 2
208.dance = 8
209.golden = 4
210.sun-light = 2
211.heavenly = 2
212.sky = 3
213.sweet = 3
214.fresh = 6
215.air = 18
216.merry = 36
217.bells = 4
218.oh = 19
219.glorious = 8
220.brightness = 4
221.has = 27
222.shadow = 8
223.deep = 8
224.childish = 3
225.heart = 26
226.comes = 4
227.that = 335
228.true = 6
229.note = 2
230.pathos = 2
231.ever = 32
232.memorable = 1
233.toast = 2
234.tiny = 25
235.tim = 23
236.god = 15
237.bless = 16
238.us = 32
239.strikes = 1
240.charmingly = 1
241.poetically = 1
242.chirping = 1
243.associated = 2
244.human = 6
245.feelings = 1
246.actions = 1
247.at = 156
248.crisis = 1
249.decides = 1
250.fate = 3
251.fortune = 5
252.carrier = 1
253.wife = 10
254.dickens's = 2
255.greatest = 2
256.gift = 1
257.characterization = 1
258.english = 1
259.writer = 1
260.save = 8
261.shakespeare = 1
262.drawn = 5
263.so = 122
264.many = 25
265.would = 86
266.be = 145
267.absurd = 1
268.interpret = 1
269.caricatures = 1
270.deny = 2
271.great = 35
272.powers = 1
273.creation = 3
274.exaggerated = 1
275.comic = 1
276.satirical = 1
277.right = 14
278.caricature = 2
279.satire = 1
280.closely = 3
281.related = 1
282.while = 17
283.exaggeration = 1
284.essence = 2
285.comedy = 1
286.remains = 1
287.host = 1
288.marked = 2
289.humour = 3
290.yet = 24
291.pictorial = 1
292.presentation = 1
293.tended = 1
294.grotesque = 1
295.interpretations = 2
296.aim = 2
297.eliminate = 1
298.grosser = 1
299.phases = 1
300.favour = 4
301.more = 57
302.if = 109
303.novel = 1
304.not = 176
305.pictured = 1
306.because = 12
307.desired--a = 1
308.wholly = 2
309.bad = 8
310.better = 15
311.whom = 10
312.resurrection = 1
313.described = 2
314.possible = 5
315.illustrator's = 1
316.people = 25
317.some = 40
318.form = 6
319.fully = 1
320.consistent = 1
321.types = 1
322._chatham = 1
323.n.j._ = 1
324.contents = 1
325.stave = 6
326.page = 1
327.i = 331
328._marley's = 1
329.ghost_ = 1
330.11 = 1
331.ii = 1
332._the = 4
333.three = 19
334.spirits_ = 3
335.32 = 1
336.iii = 1
337.second = 9
338.51 = 1
339.iv = 1
340.last = 35
341.76 = 1
342.v = 1
343.end = 12
344.it_ = 1
345.93 = 1
346._"he = 1
347.church."_ = 1
348.frontispiece = 1
349._"a = 2
350.uncle = 18
351.you = 231
352.cried = 56
353.cheerful = 9
354.voice._ = 2
355.14 = 1
356._to = 2
357.sit = 6
358.staring = 4
359.those = 15
360.fixed = 4
361.glazed = 3
362.eyes = 28
363.silence = 5
364.moment = 18
365.play = 6
366.felt = 13
367.deuce = 3
368.him._ = 2
369.26 = 1
370._"you = 2
371.recollect = 4
372.inquired = 8
373.spirit = 86
374.remember = 7
375.fervour = 3
376.walk = 11
377.blindfold."_ = 2
378.36 = 1
379._"why = 2
380.it\'s = 30
381.ali = 6
382.baba = 4
383.exclaimed = 15
384.ecstasy = 4
385.dear = 26
386.old = 69
387.honest = 4
388.baba!"_ = 1
389.38 = 1
390.prose = 1
391.being = 36
392.marley's = 12
393.marley = 20
394.dead = 17
395.begin = 2
396.doubt = 10
397.whatever = 4
398.about = 52
399.register = 1
400.burial = 1
401.signed = 3
402.clergyman = 1
403.clerk = 14
404.undertaker = 1
405.mourner = 2
406.scrooge's = 30
407.name = 13
408.good = 62
409.change = 8
410.anything = 17
411.chose = 2
412.hand = 43
413.door-nail = 3
414.mind = 20
415.don't = 11
416.mean = 6
417.say = 31
418.know = 59
419.my = 84
420.own = 49
421.knowledge = 3
422.what = 97
423.particularly = 1
424.might = 40
425.inclined = 3
426.myself = 3
427.regard = 1
428.coffin-nail = 1
429.deadest = 1
430.piece = 6
431.ironmongery = 1
432.trade = 2
433.wisdom = 1
434.our = 15
435.ancestors = 1
436.simile = 1
437.unhallowed = 1
438.hands = 35
439.shall = 14
440.disturb = 1
441.country's = 1
442.done = 26
443.will = 40
444.therefore = 4
445.permit = 1
446.repeat = 1
447.emphatically = 1
448.knew = 22
449.course = 5
450.did = 46
451.how = 42
452.otherwise = 2
453.partners = 2
454.years = 14
455.sole = 6
456.executor = 1
457.administrator = 1
458.assign = 1
459.residuary = 1
460.legatee = 1
461.friend = 7
462.even = 16
463.dreadfully = 1
464.cut = 4
465.up = 90
466.sad = 1
467.event = 3
468.an = 79
469.excellent = 1
470.business = 22
471.funeral = 3
472.solemnised = 1
473.undoubted = 1
